id,registration,model_id,airline_id,location_id,livery,tags,remark,folder
67,B-6426,A320neo,TBA,ZUUU,,,,E:\摄像存档\航空摄影\A320neo\西藏航空\B-6426_双流
68,B-30F1,A320neo,CBJ,ZJSY,,,,E:\摄像存档\航空摄影\A320neo\首都航空\B-30F1_三亚
69,B-5918,A330ceo,CCA,ZJHK,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-5918_海口
70,B-5957,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-5957_双流
71,B-6072,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-6072_双流
72,B-6523,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-6523_双流
73,B-8577,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-8577_双流
74,B-5960,A330ceo,CSC,ZUUU,国运长虹,Special Livery,,E:\摄像存档\航空摄影\A330ceo\四川航空\B-5960_国运长虹_双流
75,B-6520,A330ceo,CHH,ZJHK,三亚亚沙号,"Special Livery,Jetphotos",,E:\摄像存档\航空摄影\A330ceo\海南航空\B-6520_三亚亚沙号_海口
76,B-1046,A330ceo,TBA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\西藏航空\B-1046_双流
77,B-1043,A330ceo,CBJ,ZJHK,,,,E:\摄像存档\航空摄影\A330ceo\首都航空\B-1043_海口
78,B-32MU,A330neo,CHH,ZJHK,,,,E:\摄像存档\航空摄影\A330neo\海南航空\B-32MU_海口
79,B-32CQ,A350,CSN,ZUUU,,,,E:\摄像存档\航空摄影\A350\中国南方航空\B-32CQ_双流
80,B-325J,A350,CSC,ZUUU,熊猫之路,"Special Livery,Jetphotos",,E:\摄像存档\航空摄影\A350\四川航空\B-325J_熊猫之路_双流
81,9M-LRU,B737MAX,Batik,ZJHK,,,,E:\摄像存档\航空摄影\B737MAX\Batik\9M-LRU_海口
82,B-226E,B737MAX,CXA,ZJHK,,,,E:\摄像存档\航空摄影\B737MAX\厦门航空\B-226E_海口
83,B-1388,B737MAX,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737MAX\海南航空\B-1388_海口
84,B-207K,B737MAX,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737MAX\海南航空\B-207K_海口
85,B-224H,B737MAX,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737MAX\海南航空\B-224H_海口
86,B-228A,B737MAX,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737MAX\海南航空\B-228A_海口
87,B-1335,B737NG,CSH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\上海航空\B-1335_海口
